Peak-to-peak mean, Peak-to-peak 90th percentile, Peak-to-peak std. dev., Sum of absolute derivative mean, Sum of absolute derivative 90th percentile, Sum of absolute derivative std. dev.
0.0165, 0.0287, 0.0086, 1.57, 2.56, 0.724
0.0245, 0.047, 0.0161, 2.22, 4.02, 1.31
0.0158, 0.0285, 0.0085, 1.5, 2.57, 0.75
0.0344, 0.0591, 0.0334, 3.13, 5.24, 2.82
0.0224, 0.0412, 0.0169, 1.98, 3.37, 1.53
0.0348, 0.0671, 0.0217, 2.92, 5.48, 1.7
0.0205, 0.0356, 0.0116, 1.88, 3.16, 0.987
0.0297, 0.0644, 0.0249, 2.68, 5.51, 2.07
0.0285, 0.0492, 0.0141, 2.55, 4.43, 1.21
0.0507, 0.106, 0.0663, 4.48, 9.8, 5.43
0.0191, 0.0312, 0.00936, 1.68, 2.66, 0.759
0.0288, 0.0568, 0.0176, 2.56, 4.83, 1.48
0.117, 0.19, 0.0569, 10.6, 16.1, 4.66
0.1, 0.259, 0.0927, 9.36, 22.9, 8.3
0.0954, 0.149, 0.0439, 8.12, 12.4, 3.57
0.0873, 0.257, 0.0893, 7.65, 21.9, 7.42
0.0351, 0.0683, 0.0191, 2.94, 5.44, 1.47
0.0661, 0.0947, 0.0213, 6.1, 8.39, 1.77
0.0141, 0.0213, 0.00811, 2.08, 3.07, 1.05
0.0176, 0.0323, 0.0114, 2.24, 4.0, 1.31
0.078, 0.116, 0.0277, 8.16, 11.8, 2.69
0.108, 0.183, 0.057, 11.3, 18.4, 5.36
0.175, 0.288, 0.0813, 15.1, 24.4, 6.7
0.309, 0.558, 0.164, 27.3, 47.7, 13.7
0.0616, 0.109, 0.0342, 6.6, 12.0, 3.49
0.123, 0.219, 0.0714, 11.1, 19.6, 6.22
0.119, 0.215, 0.0585, 10.7, 18.6, 4.73
0.112, 0.189, 0.0539, 10.9, 19.1, 5.48
0.0422, 0.0635, 0.0156, 4.36, 6.05, 1.31
0.0509, 0.0846, 0.0227, 5.29, 9.11, 2.32
0.144, 0.282, 0.0854, 12.9, 25.0, 7.58
0.198, 0.366, 0.124, 17.3, 31.3, 10.4
0.224, 0.473, 0.206, 19.7, 42.6, 17.8
0.188, 0.409, 0.175, 16.5, 35.4, 14.5
0.107, 0.175, 0.0471, 10.6, 16.3, 3.96
0.0966, 0.162, 0.0483, 9.12, 15.0, 4.18
0.108, 0.184, 0.0525, 11.3, 17.6, 4.65
0.0973, 0.149, 0.043, 9.12, 13.1, 3.36
0.0852, 0.155, 0.0515, 8.41, 14.9, 4.77
0.101, 0.19, 0.0682, 11.3, 20.6, 7.32
0.0973, 0.172, 0.0518, 8.84, 15.4, 4.46
0.162, 0.275, 0.0881, 14.6, 24.2, 7.35
0.0933, 0.152, 0.0451, 7.94, 12.5, 3.49
0.169, 0.336, 0.111, 14.4, 27.9, 9.23
0.0712, 0.117, 0.0407, 7.04, 10.7, 3.28
0.135, 0.248, 0.0771, 12.9, 23.5, 6.95
0.0673, 0.106, 0.0287, 5.09, 7.83, 1.93
0.173, 0.292, 0.0784, 13.2, 20.6, 5.16
0.0885, 0.142, 0.0388, 6.84, 9.93, 2.61
0.0613, 0.0994, 0.0337, 4.65, 7.31, 2.52
0.162, 0.291, 0.0866, 10.9, 17.8, 5.02
0.0884, 0.122, 0.0273, 6.94, 8.82, 1.69
0.0488, 0.0819, 0.0233, 3.43, 5.46, 1.45
0.108, 0.153, 0.0355, 7.93, 11.4, 2.44
0.0483, 0.084, 0.0276, 3.37, 5.83, 1.96
