scaleByStrain, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
true, 7.0, 6, no_regularization, -0.0208692690036, 0.24931029106, 0.0837080126731, 0.0174760199159, 0.262800848037, 0.0664991001606
true, 7.0, 7, no_regularization, -0.01356704296, 0.469339839897, 0.0289066510165, -0.0841830330095, 0.78651574933, 0.107032863717
true, 7.0, 8, no_regularization, 0.0333914464059, 0.336289289324, 0.0992938147779, 0.0204690187291, 0.568362270517, 0.0360140350458
true, 7.0, 9, no_regularization, -0.0193894782294, 0.627910438011, 0.0308793691834, -0.0427527991847, 0.566201765862, 0.0755080640195
true, 7.0, 10, no_regularization, 0.00484020736741, 0.477612398425, 0.0101341744548, -0.027762430244, 0.476081636303, 0.0583144320784
true, 7.0, 6, regularization, -0.0322055358742, 0.202601459108, 0.158960039163, 0.00750418506495, 0.19531142126, 0.038421639741
true, 7.0, 7, regularization, -0.0149684476124, 0.4263129049, 0.0351114109855, -0.0278296658356, 0.514580908193, 0.0540821965847
true, 7.0, 8, regularization, 0.0382489937652, 0.508227408758, 0.0752596044725, 0.0282006291606, 0.464050554239, 0.0607705968735
true, 7.0, 9, regularization, -0.0180175788948, 0.571422708825, 0.0315310865608, -0.0178521420686, 0.528299208355, 0.0337917259506
true, 7.0, 10, regularization, 0.00218210907417, 0.257335875819, 0.00847961469509, -0.0175875524745, 0.371376903877, 0.0473576905049
false, 0.5, 6, no_regularization, -0.00634745763608, 0.000716546825266, 8.85839893816, 0.00280644728103, 0.00309795699273, 0.905902595684
false, 0.5, 7, no_regularization, -0.00616463929294, 0.000925435458448, 6.66133898011, 0.0026426224564, 0.00649100923408, 0.407120427825
false, 0.5, 8, no_regularization, -0.00631071742891, 0.000824258945432, 7.65623165375, 0.00290307526109, 0.00387970498708, 0.748272167795
false, 0.5, 9, no_regularization, -0.00604321979824, 0.00069981555608, 8.63544650549, 0.00283147576519, 0.00360275712709, 0.785919135071
